date,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2010-01-01,0.0,22.22,31.09,15.15,64.91,2.37
2010-01-02,0.26,23.96,31.37,18.91,65.97,2.46
2010-01-03,0.0,24.21,31.39,19.01,66.89,2.0
2010-01-04,0.0,23.38,30.57,18.0,68.55,2.37
2010-01-05,0.0,22.3,30.69,15.67,65.38,1.39
2010-01-06,0.0,23.49,31.76,16.93,60.84,2.26
2010-01-07,0.0,23.41,30.97,17.5,57.02,2.63
2010-01-08,0.0,22.77,30.83,15.74,52.16,1.81
2010-01-09,0.0,23.32,31.62,16.45,58.51,1.81
2010-01-10,0.0,24.07,32.35,18.01,62.88,1.88
2010-01-11,0.04,24.3,29.94,20.11,68.15,1.59
2010-01-12,0.05,24.01,29.17,21.14,72.47,1.65
2010-01-13,0.0,21.86,28.52,15.53,61.33,2.28
2010-01-14,0.0,22.21,31.78,13.2,52.74,2.07
2010-01-15,0.0,24.61,32.98,17.49,56.47,2.79
2010-01-16,0.0,24.75,32.42,19.02,58.04,2.23
2010-01-17,0.0,23.74,31.58,18.52,58.55,1.94
2010-01-18,0.0,23.25,31.55,17.65,59.24,1.47
2010-01-19,0.0,23.65,32.47,16.55,56.43,1.49
2010-01-20,0.0,24.37,32.4,17.7,54.09,2.11
2010-01-21,0.0,23.85,32.59,17.18,50.12,1.81
2010-01-22,0.0,23.35,32.3,16.69,48.1,2.11
2010-01-23,0.0,23.0,32.18,16.03,48.94,1.64
2010-01-24,0.0,22.81,31.51,16.49,52.86,1.54
2010-01-25,0.0,23.21,32.54,15.81,47.83,1.84
2010-01-26,0.0,23.97,32.33,17.12,46.87,2.12
2010-01-27,0.0,23.85,31.97,17.34,49.56,1.77
2010-01-28,0.0,23.32,32.21,16.77,48.1,1.86
2010-01-29,0.0,23.52,32.0,17.48,50.07,2.18
2010-01-30,0.0,24.28,33.65,17.62,48.99,2.26
2010-01-31,0.0,24.76,33.36,18.36,52.1,1.69
2010-02-01,0.0,23.91,31.46,18.14,54.03,1.63
2010-02-02,0.0,23.37,31.29,17.47,56.55,1.75
2010-02-03,0.0,23.27,31.07,16.82,57.36,1.62
2010-02-04,0.0,23.04,30.29,16.53,68.63,1.67
2010-02-05,0.0,23.69,31.99,17.14,71.56,1.72
2010-02-06,0.0,25.41,34.33,18.53,59.69,1.73
2010-02-07,0.0,25.98,34.68,19.61,53.05,2.14
2010-02-08,0.0,25.27,33.04,20.17,60.59,1.95
2010-02-09,0.0,24.4,30.92,19.34,73.69,1.85
2010-02-10,0.0,23.17,30.05,18.3,67.71,2.19
2010-02-11,0.0,23.75,31.16,18.18,57.51,1.59
2010-02-12,0.01,23.69,30.76,17.65,62.51,1.4
2010-02-13,0.0,23.3,31.01,16.95,57.81,1.75
2010-02-14,0.0,23.79,32.36,17.07,40.59,1.86
2010-02-15,0.0,23.33,31.17,17.39,37.7,1.98
2010-02-16,0.0,25.12,35.05,17.49,32.33,2.67
2010-02-17,0.0,25.65,35.76,18.51,32.83,2.4
2010-02-18,0.0,25.68,36.93,16.88,32.87,2.16
2010-02-19,0.0,26.35,36.28,19.23,34.33,1.87
2010-02-20,0.0,27.2,37.66,19.05,33.07,1.71
