date,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,curve_number,runoff_mm,rain_5day_mm,runoff_event,doy_sin,doy_cos,target_runoff_event_tomorrow
2010-01-01,0.0,22.22,31.09,15.15,64.91,2.37,80,0.0,0.0,0,0.01716632975470737,0.9998526477050269,0.0
2010-01-02,0.26,23.96,31.37,18.91,65.97,2.46,80,0.0,0.26,0,0.034327600513243496,0.9994106342455052,0.0
2010-01-03,0.0,24.21,31.39,19.01,66.89,2.0,80,0.0,0.26,0,0.05147875477034653,0.9986740898848305,0.0
2010-01-04,0.0,23.38,30.57,18.0,68.55,2.37,80,0.0,0.26,0,0.06861473800213404,0.9976432316860063,0.0
2010-01-05,0.0,22.3,30.69,15.67,65.38,1.39,80,0.0,0.26,0,0.08573050015569435,0.9963183634476755,0.0
2010-01-06,0.0,23.49,31.76,16.93,60.84,2.26,80,0.0,0.26,0,0.1028209971373604,0.9946998756145891,0.0
2010-01-07,0.0,23.41,30.97,17.5,57.02,2.63,80,0.0,0.0,0,0.11988119229922722,0.99278824516254,0.0
2010-01-08,0.0,22.77,30.83,15.74,52.16,1.81,80,0.0,0.0,0,0.13690605792347524,0.990584035457797,0.0
2010-01-09,0.0,23.32,31.62,16.45,58.51,1.81,80,0.0,0.0,0,0.15389057670406178,0.9880878960910772,0.0
2010-01-10,0.0,24.07,32.35,18.01,62.88,1.88,80,0.0,0.0,0,0.17082974322534417,0.985300562686109,0.0
2010-01-11,0.04,24.3,29.94,20.11,68.15,1.59,80,0.0,0.04,0,0.1877185654371987,0.9822228566828407,0.0
2010-01-12,0.05,24.01,29.17,21.14,72.47,1.65,80,0.0,0.09,0,0.2045520661262008,0.9788556850953578,0.0
2010-01-13,0.0,21.86,28.52,15.53,61.33,2.28,80,0.0,0.09,0,0.22132528438243257,0.9752000402445825,0.0
2010-01-14,0.0,22.21,31.78,13.2,52.74,2.07,80,0.0,0.09,0,0.2380332770614856,0.9712569994658314,0.0
2010-01-15,0.0,24.61,32.98,17.49,56.47,2.79,80,0.0,0.09,0,0.2546711202412287,0.9670277247913204,0.0
2010-01-16,0.0,24.75,32.42,19.02,58.04,2.23,80,0.0,0.05,0,0.27123391067291003,0.9625134626077081,0.0
2010-01-17,0.0,23.74,31.58,18.52,58.55,1.94,80,0.0,0.0,0,0.287716767226167,0.9577155432887803,0.0
2010-01-18,0.0,23.25,31.55,17.65,59.24,1.47,80,0.0,0.0,0,0.30411483232751785,0.9526353808033825,0.0
2010-01-19,0.0,23.65,32.47,16.55,56.43,1.49,80,0.0,0.0,0,0.3204232733919111,0.9472744722987169,0.0
2010-01-20,0.0,24.37,32.4,17.7,54.09,2.11,80,0.0,0.0,0,0.33663728424691025,0.9416343976591259,0.0
2010-01-21,0.0,23.85,32.59,17.18,50.12,1.81,80,0.0,0.0,0,0.3527520865490948,0.9357168190404936,0.0
2010-01-22,0.0,23.35,32.3,16.69,48.1,2.11,80,0.0,0.0,0,0.3687629311922601,0.9295234803804003,0.0
2010-01-23,0.0,23.0,32.18,16.03,48.94,1.64,80,0.0,0.0,0,0.3846650997070012,0.9230562068841761,0.0
2010-01-24,0.0,22.81,31.51,16.49,52.86,1.54,80,0.0,0.0,0,0.40045390565126643,0.9163169044870048,0.0
2010-01-25,0.0,23.21,32.54,15.81,47.83,1.84,80,0.0,0.0,0,0.41612469599147445,0.9093075592922358,0.0
2010-01-26,0.0,23.97,32.33,17.12,46.87,2.12,80,0.0,0.0,0,0.43167285247378384,0.9020302369860707,0.0
2010-01-27,0.0,23.85,31.97,17.34,49.56,1.77,80,0.0,0.0,0,0.44709379298511387,0.8944870822287956,0.0
2010-01-28,0.0,23.32,32.21,16.77,48.1,1.86,80,0.0,0.0,0,0.4623829729035149,0.88668031802274,0.0
2010-01-29,0.0,23.52,32.0,17.48,50.07,2.18,80,0.0,0.0,0,0.47753588643748823,0.8786122450571483,0.0
2010-01-30,0.0,24.28,33.65,17.62,48.99,2.26,80,0.0,0.0,0,0.4925480679538643,0.8702852410301553,0.0
2010-01-31,0.0,24.76,33.36,18.36,52.1,1.69,80,0.0,0.0,0,0.5074150932938455,0.8617017599480682,0.0
2010-02-01,0.0,23.91,31.46,18.14,54.03,1.63,80,0.0,0.0,0,0.5221325810768248,0.8528643314021597,0.0
2010-02-02,0.0,23.37,31.29,17.47,56.55,1.75,80,0.0,0.0,0,0.5366961939916004,0.8437755598231856,0.0
2010-02-03,0.0,23.27,31.07,16.82,57.36,1.62,80,0.0,0.0,0,0.5511016400746002,0.8344381237138473,0.0
2010-02-04,0.0,23.04,30.29,16.53,68.63,1.67,80,0.0,0.0,0,0.5653446739747429,0.8248547748594244,0.0
2010-02-05,0.0,23.69,31.99,17.14,71.56,1.72,80,0.0,0.0,0,0.5794210982045637,0.8150283375168114,0.0
2010-02-06,0.0,25.41,34.33,18.53,59.69,1.73,80,0.0,0.0,0,0.593326764377232,0.8049617075821959,0.0
2010-02-07,0.0,25.98,34.68,19.61,53.05,2.14,80,0.0,0.0,0,0.6070575744291002,0.7946578517376252,0.0
2010-02-08,0.0,25.27,33.04,20.17,60.59,1.95,80,0.0,0.0,0,0.6206094818274227,0.7841198065767105,0.0
2010-02-09,0.0,24.4,30.92,19.34,73.69,1.85,80,0.0,0.0,0,0.6339784927628866,0.7733506777097299,0.0
2010-02-10,0.0,23.17,30.05,18.3,67.71,2.19,80,0.0,0.0,0,0.647160667326606,0.7623536388483904,0.0
2010-02-11,0.0,23.75,31.16,18.18,57.51,1.59,80,0.0,0.0,0,0.6601521206712317,0.7511319308705199,0.0
2010-02-12,0.01,23.69,30.76,17.65,62.51,1.4,80,0.0,0.01,0,0.6729490241558329,0.7396888608649669,0.0
2010-02-13,0.0,23.3,31.01,16.95,57.81,1.75,80,0.0,0.01,0,0.6855476064742154,0.7280278011569848,0.0
2010-02-14,0.0,23.79,32.36,17.07,40.59,1.86,80,0.0,0.01,0,0.6979441547663435,0.7161521883143933,0.0
2010-02-15,0.0,23.33,31.17,17.39,37.7,1.98,80,0.0,0.01,0,0.7101350157125358,0.7040655221348057,0.0
